student_id,concept_id,initial_mastery
S001,C01,0.28
S001,C02,0.43
S001,C03,0.36
S001,C04,0.32
S001,C05,0.16
S001,C06,0.16
S001,C07,0.02
S001,C08,0.26
S001,C09,0.15
S001,C10,0.21
S001,C11,0.12
S001,C12,0.37
S002,C01,0.66
S002,C02,0.41
S002,C03,0.4
S002,C04,0.4
S002,C05,0.42
S002,C06,0.49
S002,C07,0.35
S002,C08,0.3
S002,C09,0.38
S002,C10,0.25
S002,C11,0.41
S002,C12,0.41
S003,C01,0.31
S003,C02,0.38
S003,C03,0.2
S003,C04,0.29
S003,C05,0.29
S003,C06,0.12
S003,C07,0.18
S003,C08,0.05
S003,C09,0.02
S003,C10,0.28
S003,C11,0.4
S003,C12,0.32
S004,C01,0.68
S004,C02,0.57
S004,C03,0.78
S004,C04,0.69
S004,C05,0.55
S004,C06,0.68
S004,C07,0.41
S004,C08,0.72
S004,C09,0.46
S004,C10,0.63
S004,C11,0.62
S004,C12,0.66
S005,C01,0.56
S005,C02,0.4
S005,C03,0.68
S005,C04,0.61
S005,C05,0.64
S005,C06,0.62
S005,C07,0.41
S005,C08,0.52
S005,C09,0.2
S005,C10,0.27
S005,C11,0.33
S005,C12,0.39
