student_id,concept_id,attempt_no,quiz_score,time_spent_min,completed,satisfaction_score
S001,C12,1,34.6,29.1,0,0.78
S001,C03,2,47.9,38.8,0,0.9
S001,C06,3,44.9,44.8,0,0.74
S001,C01,4,53.7,36.8,1,0.73
S001,C11,5,49.0,48.8,0,0.81
S001,C07,6,20.4,47.6,0,0.75
S002,C10,1,44.9,32.6,0,0.81
S002,C02,2,41.5,28.2,0,0.82
S002,C04,3,68.8,25.9,1,0.76
S002,C08,4,42.5,52.3,0,0.82
S002,C11,5,50.2,39.1,1,0.85
S002,C12,6,59.2,34.4,1,0.79
S003,C08,1,26.5,52.3,0,0.69
S003,C10,2,41.5,37.4,0,0.66
S003,C02,3,50.8,28.8,1,0.76
S003,C07,4,34.5,53.7,0,0.79
S003,C06,5,37.9,39.3,0,0.83
S003,C03,6,36.6,37.7,0,0.91
S004,C05,1,63.6,34.8,1,0.87
S004,C09,2,47.6,46.5,0,0.84
S004,C02,3,80.1,30.6,1,0.75
S004,C11,4,70.8,40.7,1,0.76
S004,C01,5,68.3,33.8,1,0.76
S004,C08,6,45.6,48.9,0,0.9
S005,C01,1,78.1,45.3,1,0.73
S005,C04,2,64.8,18.5,1,0.84
S005,C08,3,66.8,38.1,1,0.81
S005,C05,4,74.5,36.8,1,0.86
S005,C03,5,71.0,25.3,1,0.84
S005,C10,6,55.8,40.9,1,0.74
